ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
T38.6X4A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X4D,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X4S,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X5,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.6X5A,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X5D,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X5S,"Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X6,"Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.6X6A,"Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X6D,"Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.6X6S,"Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.8,"Poisoning by, adverse effect of and underdosing of other and unspecified hormones and synthetic substitutes",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.80,"Poisoning by, adverse effect of and underdosing of unspecified hormones and synthetic substitutes",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.801,"Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.801A,"Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.801D,"Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.801S,"Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.802,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.802D,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.802S,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.803,"Poisoning by unspecified hormones and synthetic substitutes, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.803A,"Poisoning by unspecified hormones and synthetic substitutes, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.803D,"Poisoning by unspecified hormones and synthetic substitutes, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.803S,"Poisoning by unspecified hormones and synthetic substitutes, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.804,"Poisoning by unspecified hormones and synthetic substitutes, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.804A,"Poisoning by unspecified hormones and synthetic substitutes, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.804D,"Poisoning by unspecified hormones and synthetic substitutes, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.804S,"Poisoning by unspecified hormones and synthetic substitutes, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.805,Adverse effect of unspecified hormones and synthetic substitutes,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.805A,"Adverse effect of unspecified hormones and synthetic substitutes, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.805D,"Adverse effect of unspecified hormones and synthetic substitutes, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.805S,"Adverse effect of unspecified hormones and synthetic substitutes, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.806,Underdosing of unspecified hormones and synthetic substitutes,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.806A,"Underdosing of unspecified hormones and synthetic substitutes, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.806D,"Underdosing of unspecified hormones and synthetic substitutes, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.806S,"Underdosing of unspecified hormones and synthetic substitutes, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.81,"Poisoning by, adverse effect of and underdosing of anterior pituitary [adenohypophyseal] hormones",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.811,"Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.811A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.811D,"Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.811S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.812,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.812D,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.812S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.813,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.813A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.813D,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.813S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.814,"Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.814A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.814D,"Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.814S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.815,Adverse effect of anterior pituitary [adenohypophyseal] hormones,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.815A,"Adverse effect of anterior pituitary [adenohypophyseal] hormones, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.815D,"Adverse effect of anterior pituitary [adenohypophyseal] hormones, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.815S,"Adverse effect of anterior pituitary [adenohypophyseal] hormones, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.816,Underdosing of anterior pituitary [adenohypophyseal] hormones,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.816A,"Underdosing of anterior pituitary [adenohypophyseal] hormones, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.816D,"Underdosing of anterior pituitary [adenohypophyseal] hormones, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.816S,"Underdosing of anterior pituitary [adenohypophyseal] hormones, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.89,"Poisoning by, adverse effect of and underdosing of other hormones and synthetic substitutes",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.891,"Poisoning by other hormones and synthetic substitutes, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.891A,"Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.891D,"Poisoning by other hormones and synthetic substitutes, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.891S,"Poisoning by other hormones and synthetic substitutes, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.892,"Poisoning by other hormones and synthetic substitutes, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.892D,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.892S,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.893,"Poisoning by other hormones and synthetic substitutes, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.893A,"Poisoning by other hormones and synthetic substitutes, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.893D,"Poisoning by other hormones and synthetic substitutes, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.893S,"Poisoning by other hormones and synthetic substitutes, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.894,"Poisoning by other hormones and synthetic substitutes, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.894A,"Poisoning by other hormones and synthetic substitutes, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.894D,"Poisoning by other hormones and synthetic substitutes, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.894S,"Poisoning by other hormones and synthetic substitutes, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.895,Adverse effect of other hormones and synthetic substitutes,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.895A,"Adverse effect of other hormones and synthetic substitutes, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.895D,"Adverse effect of other hormones and synthetic substitutes, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.895S,"Adverse effect of other hormones and synthetic substitutes, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.896,Underdosing of other hormones and synthetic substitutes,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.896A,"Underdosing of other hormones and synthetic substitutes, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.896D,"Underdosing of other hormones and synthetic substitutes, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.896S,"Underdosing of other hormones and synthetic substitutes, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.9,"Poisoning by, adverse effect of and underdosing of other and unspecified hormone antagonists",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.90,"Poisoning by, adverse effect of and underdosing of unspecified hormone antagonists",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.901,"Poisoning by unspecified hormone antagonists, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.901A,"Poisoning by unspecified hormone antagonists, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.901D,"Poisoning by unspecified hormone antagonists, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.901S,"Poisoning by unspecified hormone antagonists, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.902,"Poisoning by unspecified hormone antagonists, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.902D,"Poisoning by unspecified hormone antagonists, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.902S,"Poisoning by unspecified hormone antagonists, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.903,"Poisoning by unspecified hormone antagonists, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.903A,"Poisoning by unspecified hormone antagonists, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.903D,"Poisoning by unspecified hormone antagonists, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.903S,"Poisoning by unspecified hormone antagonists, assault sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.904,"Poisoning by unspecified hormone antagonists, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.904A,"Poisoning by unspecified hormone antagonists, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.904D,"Poisoning by unspecified hormone antagonists, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.904S,"Poisoning by unspecified hormone antagonists, undetermined sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.905,Adverse effect of unspecified hormone antagonists,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.905A,"Adverse effect of unspecified hormone antagonists, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.905D,"Adverse effect of unspecified hormone antagonists, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.905S,"Adverse effect of unspecified hormone antagonists, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.906,Underdosing of unspecified hormone antagonists,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.906A,"Underdosing of unspecified hormone antagonists, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.906D,"Underdosing of unspecified hormone antagonists, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.906S,"Underdosing of unspecified hormone antagonists, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.99,"Poisoning by, adverse effect of and underdosing of other hormone antagonists",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.991,"Poisoning by other hormone antagonists, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.991A,"Poisoning by other hormone antagonists, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.991D,"Poisoning by other hormone antagonists, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.991S,"Poisoning by other hormone antagonists, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.992,"Poisoning by other hormone antagonists, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.992D,"Poisoning by other hormone antagonists, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.992S,"Poisoning by other hormone antagonists, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.993,"Poisoning by other hormone antagonists, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.993A,"Poisoning by other hormone antagonists, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.993D,"Poisoning by other hormone antagonists, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.993S,"Poisoning by other hormone antagonists, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.994,"Poisoning by other hormone antagonists, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.994A,"Poisoning by other hormone antagonists, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.994D,"Poisoning by other hormone antagonists, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.994S,"Poisoning by other hormone antagonists, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.995,Adverse effect of other hormone antagonists,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.995A,"Adverse effect of other hormone antagonists, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.995D,"Adverse effect of other hormone antagonists, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.995S,"Adverse effect of other hormone antagonists, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.996,Underdosing of other hormone antagonists,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T38.996A,"Underdosing of other hormone antagonists, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.996D,"Underdosing of other hormone antagonists, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T38.996S,"Underdosing of other hormone antagonists, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.1,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X1,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X1A,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X1D,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X1S,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X2,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X2A,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X2D,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X2S,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X3,"Poisoning by antineoplastic and immunosuppressive drugs, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X3A,"Poisoning by antineoplastic and immunosuppressive drugs, assault, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X3D,"Poisoning by antineoplastic and immunosuppressive drugs, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X3S,"Poisoning by antineoplastic and immunosuppressive drugs, assault, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X4,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X4A,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X4D,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X4S,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X5,Adverse effect of antineoplastic and immunosuppressive drugs,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X5A,"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X5D,"Adverse effect of antineoplastic and immunosuppressive drugs, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X5S,"Adverse effect of antineoplastic and immunosuppressive drugs, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X6,Underdosing of antineoplastic and immunosuppressive drugs,Drug poisonings or other complications,Subcategory Code,Subcategory Code (Expanded),,,,
T45.1X6A,"Underdosing of antineoplastic and immunosuppressive drugs, initial encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X6D,"Underdosing of antineoplastic and immunosuppressive drugs, subsequent encounter",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.1X6S,"Underdosing of antineoplastic and immunosuppressive drugs, sequela",Drug poisonings or other complications,Supplemental,Expanded,,,,
T45.8,"Poisoning by, adverse effect of and underdosing of other primarily systemic and hematological agents",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X,"Poisoning by, adverse effect of and underdosing of other primarily systemic and hematological agents",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X1,"Poisoning by other primarily systemic and hematological agents, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X1A,"Poisoning by other primarily systemic and hematological agents, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X1D,"Poisoning by other primarily systemic and hematological agents, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X1S,"Poisoning by other primarily systemic and hematological agents, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X2,"Poisoning by other primarily systemic and hematological agents, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X2A,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X2D,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X2S,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X3,"Poisoning by other primarily systemic and hematological agents, assault",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X3A,"Poisoning by other primarily systemic and hematological agents, assault, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X3D,"Poisoning by other primarily systemic and hematological agents, assault, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X3S,"Poisoning by other primarily systemic and hematological agents, assault, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X4,"Poisoning by other primarily systemic and hematological agents, undetermined",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X4A,"Poisoning by other primarily systemic and hematological agents, undetermined, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X4D,"Poisoning by other primarily systemic and hematological agents, undetermined, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X4S,"Poisoning by other primarily systemic and hematological agents, undetermined, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X5,Adverse effect of other primarily systemic and hematological agents,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X5A,"Adverse effect of other primarily systemic and hematological agents, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X5D,"Adverse effect of other primarily systemic and hematological agents, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X5S,"Adverse effect of other primarily systemic and hematological agents, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X6,Underdosing of other primarily systemic and hematological agents,Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.8X6A,"Underdosing of other primarily systemic and hematological agents, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X6D,"Underdosing of other primarily systemic and hematological agents, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.8X6S,"Underdosing of other primarily systemic and hematological agents, sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.9,"Poisoning by, adverse effect of and underdosing of unspecified primarily systemic and hematological agent",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.91,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional)",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.91XA,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional), initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.91XD,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional), subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.91XS,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional), sequela",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.92,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm",Drug poisonings or other complications,Subcategory Code,Subcategory Code,,,,
T45.92XA,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
T45.92XD,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, subsequent encounter",Drug poisonings or other complications,Supplemental,Non-Path casefinding,,,,
